PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode
,,,,,,,,,,,,Emeliodora_Block1,A1,U1,
,,,,,,,,,,,,Emeliodora_Block1,B1,U2,
,,,,,,,,,,,,Emeliodora_Block1,C1,U3,
,,,,,,,,,,,,Emeliodora_Block1,D1,U4,
,,,,,,,,,,,,Emeliodora_Block1,E1,U5,
,,,,,,,,,,,,Emeliodora_Block1,F1,U6,
,,,,,,,,,,,,Emeliodora_Block1,G1,U7,
,,,,,,,,,,,,Emeliodora_Block1,H1,U8,
,,,,,,,,,,,,Emeliodora_Block1,A2,U9,
,,,,,,,,,,,,Emeliodora_Block1,B2,U10,
,,,,,,,,,,,,Emeliodora_Block1,C2,P1,
,,,,,,,,,,,,Emeliodora_Block1,D2,P2,
,,,,,,,,,,,,Emeliodora_Block1,E2,P3,
,,,,,,,,,,,,Emeliodora_Block1,F2,P4,
,,,,,,,,,,,,Emeliodora_Block1,G2,P5,
,,,,,,,,,,,,Emeliodora_Block1,H2,P6,
,,,,,,,,,,,,Emeliodora_Block1,A3,P7,
,,,,,,,,,,,,Emeliodora_Block1,B3,P8,
,,,,,,,,,,,,Emeliodora_Block1,C3,P9,
,,,,,,,,,,,,Emeliodora_Block1,D3,P10,
,,,,,,,,,,,,Emeliodora_Block1,E3,G1,
,,,,,,,,,,,,Emeliodora_Block1,F3,G2,
,,,,,,,,,,,,Emeliodora_Block1,G3,G3,
,,,,,,,,,,,,Emeliodora_Block1,H3,G4,
,,,,,,,,,,,,Emeliodora_Block1,A4,G5,
,,,,,,,,,,,,Emeliodora_Block1,B4,G6,
,,,,,,,,,,,,Emeliodora_Block1,C4,G7,
,,,,,,,,,,,,Emeliodora_Block1,D4,G8,
,,,,,,,,,,,,Emeliodora_Block1,E4,G9,
,,,,,,,,,,,,Emeliodora_Block1,F4,G10,
,,,,,,,,,,,,Emeliodora_Block1,G4,W1-1,
,,,,,,,,,,,,Emeliodora_Block1,H4,W1-2,
,,,,,,,,,,,,Emeliodora_Block1,A5,W1-3,
,,,,,,,,,,,,Emeliodora_Block1,B5,W1-4,
,,,,,,,,,,,,Emeliodora_Block1,C5,W1-5,
,,,,,,,,,,,,Emeliodora_Block1,D5,W1-6,
,,,,,,,,,,,,Emeliodora_Block1,E5,W1-7,
,,,,,,,,,,,,Emeliodora_Block1,F5,W1-8,
,,,,,,,,,,,,Emeliodora_Block1,G5,W1-9,
,,,,,,,,,,,,Emeliodora_Block1,H5,W1-10,
,,,,,,,,,,,,Emeliodora_Block1,A6,H1,
,,,,,,,,,,,,Emeliodora_Block1,B6,H2,
,,,,,,,,,,,,Emeliodora_Block1,C6,H3,
