AccessionID,AccessionName,HasSeed,Project,PopulationName,NumberOfMaternalLines,DateCollected,Latitude,Longitude,Altitude,StorageLocation,Source,ExternalID,Notes,FatherAccessionID,MotherAccessionID,SeedRemaining,seedling location
A25001,LB-U-1,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25002,LB-U-2,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25003,LB-U-3,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25004,LB-U-4,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25005,LB-U-5,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25006,LB-U-6,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25007,LB-U-7,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25008,LB-U-8,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25009,LB-U-9,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25010,LB-U-10,?,E.melliodora,LB-U,1,?,,,,,Linda,,,,,,
A25011,LB-P-1,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25012,LB-P-2,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25013,LB-P-3,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25014,LB-P-4,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25015,LB-P-5,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25016,LB-P-6,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25017,LB-P-7,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25018,LB-P-8,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25019,LB-P-9,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25020,LB-P-10,?,E.melliodora,LB-P,1,?,,,,,Linda,,,,,,
A25021,LB-G-1,?,E.melliodora,LB-G,1,?,,,,,Linda,,,,,,
A25022,LB-G-2,?,E.melliodora,LB-G,1,?,,,,,Linda,,,,,,
A25023,LB-G-3,?,E.melliodora,LB-G,1,?,,,,,Linda,,,,,,
A25024,LB-G-4,?,E.melliodora,LB-G,1,?,,,,,Linda,,,,,,
A25025,LB-G-5,?,E.melliodora,LB-G,1,?,,,,,Linda,,,,,,
A25026,LB-G-6,?,E.melliodora,LB-G,1,?,,,,,Linda,,,,,,
A25027,LB-G-7,?,E.melliodora,LB-G,1,?,,,,,Linda,,,,,,
A25028,LB-G-8,?,E.melliodora,LB-G,1,?,,,,,Linda,,,,,,
A25029,LB-G-9,?,E.melliodora,LB-G,1,?,,,,,Linda,,,,,,
